codigo,descricao_oficial,vertical_id,vertical,sub_vertical,sinonimos,tags,secao,divisao,grupo,classe
0111-3/01,Cultivo de arroz,AGRO,Agronegócio,Agricultura e Lavouras,arroz,Agro,A,01,01.1,01.11-3
0111-3/02,Cultivo de milho,AGRO,Agronegócio,Agricultura e Lavouras,milho,Agro,A,01,01.1,01.11-3
0111-3/03,Cultivo de trigo,AGRO,Agronegócio,Agricultura e Lavouras,trigo,Agro,A,01,01.1,01.11-3
0111-3/99,Cultivo de outros cereais não especificados anteriormente,AGRO,Agronegócio,Agricultura e Lavouras,outros cereais,Agro,A,01,01.1,01.11-3
0112-1/01,Cultivo de algodão herbáceo,AGRO,Agronegócio,Agricultura e Lavouras,algodão herbáceo,Agro,A,01,01.1,01.12-1
0112-1/02,Cultivo de juta,AGRO,Agronegócio,Agricultura e Lavouras,juta,Agro,A,01,01.1,01.12-1
0112-1/99,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,AGRO,Agronegócio,Agricultura e Lavouras,outras fibras de lavoura temporária,Agro,A,01,01.1,01.12-1
0113-0/00,Cultivo de cana-de-açúcar,AGRO,Agronegócio,Agricultura e Lavouras,cana-de-açúcar,Agro,A,01,01.1,01.13-0
0114-8/00,Cultivo de fumo,AGRO,Agronegócio,Agricultura e Lavouras,fumo,Agro,A,01,01.1,01.14-8
0115-6/00,Cultivo de soja,AGRO,Agronegócio,Agricultura e Lavouras,"soja, soja, plantação de soja, fazenda de soja",Agro,A,01,01.1,01.15-6
0116-4/01,Cultivo de amendoim,AGRO,Agronegócio,Agricultura e Lavouras,amendoim,Agro,A,01,01.1,01.16-4
0116-4/02,Cultivo de girassol,AGRO,Agronegócio,Agricultura e Lavouras,girassol,Agro,A,01,01.1,01.16-4
0116-4/03,Cultivo de mamona,AGRO,Agronegócio,Agricultura e Lavouras,mamona,Agro,A,01,01.1,01.16-4
0116-4/99,Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,AGRO,Agronegócio,Agricultura e Lavouras,outras oleaginosas de lavoura temporária,Agro,A,01,01.1,01.16-4
0119-9/01,Cultivo de abacaxi,AGRO,Agronegócio,Agricultura e Lavouras,abacaxi,Agro,A,01,01.1,01.19-9
0119-9/02,Cultivo de alho,AGRO,Agronegócio,Agricultura e Lavouras,alho,Agro,A,01,01.1,01.19-9
0119-9/03,Cultivo de batata-inglesa,AGRO,Agronegócio,Agricultura e Lavouras,batata-inglesa,Agro,A,01,01.1,01.19-9
0119-9/04,Cultivo de cebola,AGRO,Agronegócio,Agricultura e Lavouras,cebola,Agro,A,01,01.1,01.19-9
0119-9/05,Cultivo de feijão,AGRO,Agronegócio,Agricultura e Lavouras,feijão,Agro,A,01,01.1,01.19-9
0119-9/06,Cultivo de mandioca,AGRO,Agronegócio,Agricultura e Lavouras,mandioca,Agro,A,01,01.1,01.19-9
0119-9/07,Cultivo de melão,AGRO,Agronegócio,Agricultura e Lavouras,melão,Agro,A,01,01.1,01.19-9
0119-9/08,Cultivo de melancia,AGRO,Agronegócio,Agricultura e Lavouras,melancia,Agro,A,01,01.1,01.19-9
0119-9/09,Cultivo de tomate rasteiro,AGRO,Agronegócio,Agricultura e Lavouras,tomate rasteiro,Agro,A,01,01.1,01.19-9
0119-9/99,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente,AGRO,Agronegócio,Agricultura e Lavouras,outras plantas de lavoura temporária,Agro,A,01,01.1,01.19-9
0121-1/01,"Horticultura, exceto morango",AGRO,Agronegócio,Agricultura e Lavouras,horticultura,Agro,A,01,01.2,01.21-1
0121-1/02,Cultivo de morango,AGRO,Agronegócio,Agricultura e Lavouras,morango,Agro,A,01,01.2,01.21-1
0122-9/00,Cultivo de flores e plantas ornamentais,AGRO,Agronegócio,Agricultura e Lavouras,flores e plantas ornamentais,Agro,A,01,01.2,01.22-9
0131-8/00,Cultivo de laranja,AGRO,Agronegócio,Agricultura e Lavouras,laranja,Agro,A,01,01.3,01.31-8
0132-6/00,Cultivo de uva,AGRO,Agronegócio,Agricultura e Lavouras,uva,Agro,A,01,01.3,01.32-6
