Mapeamento Completo — 1.331 subclasses CNAE 2.3;;;;
;;;;
Subclasse CNAE;Descrição Oficial;Vertical;;
0111-3/01;Cultivo de arroz;Agronegócio;;
0111-3/02;Cultivo de milho;Agronegócio;;
0111-3/03;Cultivo de trigo;Agronegócio;;
0111-3/99;Cultivo de outros cereais não especificados anteriormente;Agronegócio;;
0112-1/01;Cultivo de algodão herbáceo;Agronegócio;;
0112-1/02;Cultivo de juta;Agronegócio;;
0112-1/99;Cultivo de outras fibras de lavoura temporária não especificadas anteriormente;Agronegócio;;
0113-0/00;Cultivo de cana-de-açúcar;Agronegócio;;
0114-8/00;Cultivo de fumo;Agronegócio;;
0115-6/00;Cultivo de soja;Agronegócio;;
0116-4/01;Cultivo de amendoim;Agronegócio;;
0116-4/02;Cultivo de girassol;Agronegócio;;
0116-4/03;Cultivo de mamona;Agronegócio;;
0116-4/99;Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente;Agronegócio;;
0119-9/01;Cultivo de abacaxi;Agronegócio;;
0119-9/02;Cultivo de alho;Agronegócio;;
0119-9/03;Cultivo de batata-inglesa;Agronegócio;;
0119-9/04;Cultivo de cebola;Agronegócio;;
0119-9/05;Cultivo de feijão;Agronegócio;;
0119-9/06;Cultivo de mandioca;Agronegócio;;
0119-9/07;Cultivo de melão;Agronegócio;;
0119-9/08;Cultivo de melancia;Agronegócio;;
0119-9/09;Cultivo de tomate rasteiro;Agronegócio;;
0119-9/99;Cultivo de outras plantas de lavoura temporária não especificadas anteriormente;Agronegócio;;
0121-1/01;Horticultura, exceto morango;Agronegócio;;
0121-1/02;Cultivo de morango;Agronegócio;;
0122-9/00;Cultivo de flores e plantas ornamentais;Agronegócio;;
0131-8/00;Cultivo de laranja;Agronegócio;;
0132-6/00;Cultivo de uva;Agronegócio;;
0133-4/01;Cultivo de açaí;Agronegócio;;
0133-4/02;Cultivo de banana;Agronegócio;;
0133-4/03;Cultivo de caju;Agronegócio;;
0133-4/04;Cultivo de cítricos, exceto laranja;Agronegócio;;
0133-4/05;Cultivo de coco-da-baía;Agronegócio;;
0133-4/06;Cultivo de guaraná;Agronegócio;;
0133-4/07;Cultivo de maçã;Agronegócio;;
0133-4/08;Cultivo de mamão;Agronegócio;;
0133-4/09;Cultivo de maracujá;Agronegócio;;
0133-4/10;Cultivo de manga;Agronegócio;;
0133-4/11;Cultivo de pêssego;Agronegócio;;
0133-4/99;Cultivo de frutas de lavoura permanente não especificadas anteriormente;Agronegócio;;
0134-2/00;Cultivo de café;Agronegócio;;
0135-1/00;Cultivo de cacau;Agronegócio;;
0139-3/01;Cultivo de chá-da-índia;Agronegócio;;
0139-3/02;Cultivo de erva-mate;Agronegócio;;
0139-3/03;Cultivo de pimenta-do-reino;Agronegócio;;
0139-3/04;Cultivo de plantas para condimento, exceto pimenta-do-reino;Agronegócio;;
0139-3/05;Cultivo de dendê;Agronegócio;;
0139-3/06;Cultivo de seringueira;Agronegócio;;
0139-3/99;Cultivo de outras plantas de lavoura permanente não especificadas anteriormente;Agronegócio;;
0141-5/01;Produção de sementes certificadas, exceto de forrageiras para pasto;Agronegócio;;
0141-5/02;Produção de sementes certificadas de forrageiras para formação de pasto;Agronegócio;;
0142-3/00;Produção de mudas e outras formas de propagação vegetal, certificadas;Agronegócio;;
0151-2/01;Criação de bovinos para corte;Agronegócio;;
0151-2/02;Criação de bovinos para leite;Agronegócio;;
0151-2/03;Criação de bovinos, exceto para corte e leite;Agronegócio;;
0152-1/01;Criação de bufalinos;Agronegócio;;
0152-1/02;Criação de equinos;Agronegócio;;
0152-1/03;Criação de asininos e muares;Agronegócio;;
0153-9/01;Criação de caprinos;Agronegócio;;
0153-9/02;Criação de ovinos, inclusive para produção de lã;Agronegócio;;
0154-7/00;Criação de suínos;Agronegócio;;
0155-5/01;Criação de frangos para corte;Agronegócio;;
0155-5/02;Produção de pintos de um dia;Agronegócio;;
0155-5/03;Criação de outros galináceos, exceto para corte;Agronegócio;;
0155-5/04;Criação de aves, exceto galináceos;Agronegócio;;
0155-5/05;Produção de ovos;Agronegócio;;
0159-8/01;Apicultura;Agronegócio;;
0159-8/02;Criação de animais de estimação;Agronegócio;;
0159-8/03;Criação de escargô;Agronegócio;;
0159-8/04;Criação de bicho-da-seda;Agronegócio;;
0159-8/99;Criação de outros animais não especificados anteriormente;Agronegócio;;
0161-0/01;Serviço de pulverização e controle de pragas agrícolas;Agronegócio;;
0161-0/02;Serviço de poda de árvores para lavouras;Agronegócio;;
0161-0/03;Serviço de preparação de terreno, cultivo e colheita;Agronegócio;;
0161-0/99;Atividades de apoio à agricultura não especificadas anteriormente;Agronegócio;;
0162-8/01;Serviço de inseminação artificial em animais;Agronegócio;;
0162-8/02;Serviço de tosquiamento de ovinos;Agronegócio;;
0162-8/03;Serviço de manejo de animais;Agronegócio;;
0162-8/99;Atividades de apoio à pecuária não especificadas anteriormente;Agronegócio;;
0163-6/00;Atividades de pós-colheita;Agronegócio;;
0170-9/00;Caça e serviços relacionados;Agronegócio;;
0210-1/01;Cultivo de eucalipto;Agronegócio;;
0210-1/02;Cultivo de acácia-negra;Agronegócio;;
0210-1/03;Cultivo de pinus;Agronegócio;;
0210-1/04;Cultivo de teca;Agronegócio;;
0210-1/05;Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca;Agronegócio;;
0210-1/06;Cultivo de mudas em viveiros florestais;Agronegócio;;
0210-1/07;Extração de madeira em florestas plantadas;Agronegócio;;
0210-1/08;Produção de carvão vegetal - florestas plantadas;Agronegócio;;
0210-1/09;Produção de casca de acácia-negra - florestas plantadas;Agronegócio;;
0210-1/99;Produção de produtos não madeireiros não especificados anteriormente em florestas plantadas;Agronegócio;;
0220-9/01;Extração de madeira em florestas nativas;Agronegócio;;
0220-9/02;Produção de carvão vegetal - florestas nativas;Agronegócio;;
0220-9/03;Coleta de castanha-do-pará em florestas nativas;Agronegócio;;
0220-9/04;Coleta de látex em florestas nativas;Agronegócio;;
0220-9/05;Coleta de palmito em florestas nativas;Agronegócio;;
0220-9/06;Conservação de florestas nativas;Agronegócio;;
0220-9/99;Coleta de produtos não madeireiros não especificados anteriormente em florestas nativas;Agronegócio;;
0230-6/00;Atividades de apoio à produção florestal;Agronegócio;;
0311-6/01;Pesca de peixes em água salgada;Agronegócio;;
0311-6/02;Pesca de crustáceos e moluscos em água salgada;Agronegócio;;
0311-6/03;Coleta de outros produtos marinhos;Agronegócio;;
0311-6/04;Atividades de apoio à pesca em água salgada;Agronegócio;;
